id,status,card_type,applied_date
51,COMPLETED,platinum,2026-05-01
52,ACCEPTED,premium,2026-05-02
53,DECLINED,platinum,2026-05-03
54,COMPLETED,premium,2026-05-04
55,ACCEPTED,platinum,2026-05-05
56,DECLINED,premium,2026-05-06
57,COMPLETED,platinum,2026-05-07
58,ACCEPTED,premium,2026-05-08
59,DECLINED,platinum,2026-05-09
60,COMPLETED,premium,2026-05-10
61,ACCEPTED,platinum,2026-05-11
62,DECLINED,premium,2026-05-12
63,COMPLETED,platinum,2026-05-13
64,ACCEPTED,premium,2026-05-14
65,DECLINED,platinum,2026-05-15
66,COMPLETED,premium,2026-05-16
67,ACCEPTED,platinum,2026-05-17
68,DECLINED,premium,2026-05-18
69,COMPLETED,platinum,2026-05-19
70,ACCEPTED,premium,2026-05-20
71,DECLINED,platinum,2026-05-21
72,COMPLETED,premium,2026-05-22
73,ACCEPTED,platinum,2026-05-23
74,DECLINED,premium,2026-05-24
75,COMPLETED,platinum,2026-05-25
