id,status,card_type,applied_date
26,DECLINED,premium,2026-04-01
27,COMPLETED,platinum,2026-04-02
28,ACCEPTED,premium,2026-04-03
29,DECLINED,platinum,2026-04-04
30,COMPLETED,premium,2026-04-05
31,ACCEPTED,platinum,2026-04-06
32,DECLINED,premium,2026-04-07
33,COMPLETED,platinum,2026-04-08
34,ACCEPTED,premium,2026-04-09
35,DECLINED,platinum,2026-04-10
36,COMPLETED,premium,2026-04-11
37,ACCEPTED,platinum,2026-04-12
38,DECLINED,premium,2026-04-13
39,COMPLETED,platinum,2026-04-14
40,ACCEPTED,premium,2026-04-15
41,DECLINED,platinum,2026-04-16
42,COMPLETED,premium,2026-04-17
43,ACCEPTED,platinum,2026-04-18
44,DECLINED,premium,2026-04-19
45,COMPLETED,platinum,2026-04-20
46,ACCEPTED,premium,2026-04-21
47,DECLINED,platinum,2026-04-22
48,COMPLETED,premium,2026-04-23
49,ACCEPTED,platinum,2026-04-24
50,DECLINED,premium,2026-04-25
