id,status,card_type,applied_date
APP-2026-11-001,COMPLETED,platinum,2026-11-01 08:00:00
APP-2026-11-002,COMPLETED,premium,2026-11-02 09:07:00
APP-2026-11-003,COMPLETED,platinum,2026-11-03 10:14:00
APP-2026-11-004,COMPLETED,premium,2026-11-04 11:21:00
APP-2026-11-005,COMPLETED,platinum,2026-11-05 12:28:00
APP-2026-11-006,COMPLETED,premium,2026-11-06 13:35:00
APP-2026-11-007,COMPLETED,platinum,2026-11-07 14:42:00
APP-2026-11-008,REJECTED,premium,2026-11-08 15:49:00
APP-2026-11-009,REJECTED,platinum,2026-11-09 16:56:00
APP-2026-11-010,REJECTED,premium,2026-11-10 08:03:00
APP-2026-11-011,REJECTED,platinum,2026-11-11 09:10:00
APP-2026-11-012,REJECTED,premium,2026-11-12 10:17:00
APP-2026-11-013,REJECTED,platinum,2026-11-13 11:24:00
APP-2026-11-014,REJECTED,premium,2026-11-14 12:31:00
APP-2026-11-015,REJECTED,platinum,2026-11-15 13:38:00
APP-2026-11-016,REJECTED,premium,2026-11-16 14:45:00
APP-2026-11-017,REJECTED,platinum,2026-11-17 15:52:00
APP-2026-11-018,IN_PROGRESS,premium,2026-11-18 16:59:00
APP-2026-11-019,IN_PROGRESS,platinum,2026-11-19 08:06:00
APP-2026-11-020,IN_PROGRESS,premium,2026-11-20 09:13:00
APP-2026-11-021,IN_PROGRESS,platinum,2026-11-21 10:20:00
APP-2026-11-022,IN_PROGRESS,premium,2026-11-22 11:27:00
APP-2026-11-023,IN_PROGRESS,platinum,2026-11-23 12:34:00
APP-2026-11-024,IN_PROGRESS,premium,2026-11-24 13:41:00
APP-2026-11-025,IN_PROGRESS,platinum,2026-11-25 14:48:00
