id,status,card_type,applied_date
APP-2026-02-001,COMPLETED,premium,2026-02-01 08:00:00
APP-2026-02-002,COMPLETED,platinum,2026-02-02 09:07:00
APP-2026-02-003,COMPLETED,premium,2026-02-03 10:14:00
APP-2026-02-004,COMPLETED,platinum,2026-02-04 11:21:00
APP-2026-02-005,COMPLETED,premium,2026-02-05 12:28:00
APP-2026-02-006,COMPLETED,platinum,2026-02-06 13:35:00
APP-2026-02-007,COMPLETED,premium,2026-02-07 14:42:00
APP-2026-02-008,COMPLETED,platinum,2026-02-08 15:49:00
APP-2026-02-009,REJECTED,premium,2026-02-09 16:56:00
APP-2026-02-010,REJECTED,platinum,2026-02-10 08:03:00
APP-2026-02-011,REJECTED,premium,2026-02-11 09:10:00
APP-2026-02-012,REJECTED,platinum,2026-02-12 10:17:00
APP-2026-02-013,REJECTED,premium,2026-02-13 11:24:00
APP-2026-02-014,REJECTED,platinum,2026-02-14 12:31:00
APP-2026-02-015,REJECTED,premium,2026-02-15 13:38:00
APP-2026-02-016,REJECTED,platinum,2026-02-16 14:45:00
APP-2026-02-017,REJECTED,premium,2026-02-17 15:52:00
APP-2026-02-018,IN_PROGRESS,platinum,2026-02-18 16:59:00
APP-2026-02-019,IN_PROGRESS,premium,2026-02-19 08:06:00
APP-2026-02-020,IN_PROGRESS,platinum,2026-02-20 09:13:00
APP-2026-02-021,IN_PROGRESS,premium,2026-02-21 10:20:00
APP-2026-02-022,IN_PROGRESS,platinum,2026-02-22 11:27:00
APP-2026-02-023,IN_PROGRESS,premium,2026-02-23 12:34:00
APP-2026-02-024,IN_PROGRESS,platinum,2026-02-24 13:41:00
APP-2026-02-025,IN_PROGRESS,premium,2026-02-25 14:48:00
