application_id,submitted_at,channel,product_code,requested_limit,status,steps_reached,stopped_at_step,decline_reason_code,decided_at,granted_limit,last_updated_at,age_band,residence_country,employment_status,annual_income,dti_ratio,credit_band,apr,screening_outcome,kyc_outcome,agreement_outcome
APP-2026-02234,2026-07-10T15:17:19Z,WEB,CREDIT_CARD_REWARDS,2250,COMPLETED,8,,,2026-07-12T00:14:52Z,2250.0,2026-07-12T00:14:52Z,18-24,IE,RETIRED,13500,0.34,D,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02246,2026-07-11T18:18:53Z,AGGREGATOR,CREDIT_CARD_STUDENT,2250,REFERRED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-12T00:30:43Z,,2026-07-12T00:30:43Z,55-64,NL,PERMANENT,18500,0.45,D,24.9,CLEAR,VERIFIED,
APP-2026-02244,2026-07-11T18:40:55Z,WEB,CREDIT_CARD_REWARDS,6250,IN_PROGRESS,5,agreement,,,,2026-07-12T00:55:35Z,18-24,ES,PERMANENT,80500,0.45,C,19.9,CLEAR,VERIFIED,
APP-2026-02243,2026-07-11T16:48:35Z,WEB,CREDIT_CARD_STANDARD,6250,REJECTED,4,credit,CRE_INCOME_BELOW_MINIMUM,2026-07-12T02:33:19Z,,2026-07-12T02:33:19Z,35-44,GB,PERMANENT,27000,0.26,C,24.9,CLEAR,VERIFIED,
APP-2026-02175,2026-07-06T18:44:11Z,BRANCH,CREDIT_CARD_REWARDS,9000,COMPLETED,8,,,2026-07-12T03:58:20Z,9000.0,2026-07-12T03:58:20Z,35-44,DE,PERMANENT,48500,0.33,B,24.9,,REVIEW,SIGNED
APP-2026-02241,2026-07-11T20:28:34Z,BRANCH,CREDIT_CARD_STUDENT,24250,IN_PROGRESS,5,agreement,,,,2026-07-12T07:43:50Z,25-34,GB,PERMANENT,47000,0.24,A,19.9,CLEAR,VERIFIED,
APP-2026-02227,2026-07-09T16:44:03Z,AGGREGATOR,CREDIT_CARD_REWARDS,7500,COMPLETED,8,,,2026-07-12T10:45:31Z,1000.0,2026-07-12T10:45:31Z,45-54,PL,STUDENT,4000,0.33,D,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02231,2026-07-10T10:41:03Z,WEB,CREDIT_CARD_STANDARD,5000,COMPLETED,8,,,2026-07-12T12:38:39Z,5000.0,2026-07-12T12:38:39Z,25-34,DE,PERMANENT,59500,0.32,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02229,2026-07-09T18:51:38Z,WEB,CREDIT_CARD_STUDENT,500,COMPLETED,8,,,2026-07-12T15:39:31Z,500.0,2026-07-12T15:39:31Z,65+,GB,SELF_EMPLOYED,18000,0.21,D,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02225,2026-07-09T19:43:30Z,MOBILE_APP,CREDIT_CARD_STANDARD,6500,COMPLETED,8,,,2026-07-12T16:18:48Z,6500.0,2026-07-12T16:18:48Z,25-34,GB,PERMANENT,57500,0.42,C,19.9,CLEAR,VERIFIED,SIGNED
APP-2026-02239,2026-07-10T11:10:57Z,WEB,CREDIT_CARD_REWARDS,2750,COMPLETED,8,,,2026-07-12T18:47:17Z,2750.0,2026-07-12T18:47:17Z,45-54,DE,PERMANENT,37500,0.31,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02250,2026-07-12T13:14:52Z,WEB,CREDIT_CARD_STANDARD,8000,IN_PROGRESS,5,agreement,,,,2026-07-12T19:38:41Z,18-24,FR,PERMANENT,58500,0.52,D,24.9,CLEAR,VERIFIED,
APP-2026-02254,2026-07-12T11:28:52Z,WEB,CREDIT_CARD_REWARDS,9250,IN_PROGRESS,5,agreement,,,,2026-07-12T19:54:50Z,65+,PL,PERMANENT,73000,0.34,B,24.9,CLEAR,VERIFIED,
APP-2026-02251,2026-07-12T12:09:53Z,MOBILE_APP,CREDIT_CARD_STUDENT,750,IN_PROGRESS,5,agreement,,,,2026-07-12T20:55:12Z,25-34,GB,RETIRED,33500,0.41,C,24.9,CLEAR,VERIFIED,
APP-2026-02252,2026-07-12T16:33:27Z,BRANCH,CREDIT_CARD_STANDARD,12250,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-12T21:34:50Z,,2026-07-12T21:34:50Z,35-44,GB,UNEMPLOYED,3000,0.46,D,19.9,CLEAR,VERIFIED,
APP-2026-02249,2026-07-12T20:53:43Z,BRANCH,CREDIT_CARD_REWARDS,9750,IN_PROGRESS,4,credit,,,,2026-07-12T22:12:33Z,35-44,PL,PERMANENT,37500,0.42,C,19.9,CLEAR,VERIFIED,
APP-2026-02248,2026-07-12T21:09:47Z,WEB,CREDIT_CARD_REWARDS,5500,IN_PROGRESS,4,credit,,,,2026-07-12T22:34:21Z,55-64,PL,PERMANENT,34000,0.42,C,19.9,CLEAR,VERIFIED,
APP-2026-02253,2026-07-12T17:07:31Z,AGGREGATOR,CREDIT_CARD_STUDENT,6750,IN_PROGRESS,6,account,,,,2026-07-12T23:20:24Z,25-34,FR,PERMANENT,55000,0.29,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02240,2026-07-11T10:46:50Z,MOBILE_APP,CREDIT_CARD_STANDARD,19500,IN_PROGRESS,7,card,,,,2026-07-12T23:24:57Z,55-64,ES,PERMANENT,31000,0.31,B,19.9,CLEAR,VERIFIED,SIGNED
APP-2026-02247,2026-07-12T14:39:29Z,WEB,CREDIT_CARD_STUDENT,23000,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-12T23:30:21Z,,2026-07-12T23:30:21Z,18-24,GB,SELF_EMPLOYED,45500,0.29,B,19.9,CLEAR,VERIFIED,
