application_id,submitted_at,channel,product_code,requested_limit,status,steps_reached,stopped_at_step,decline_reason_code,decided_at,granted_limit,last_updated_at,age_band,residence_country,employment_status,annual_income,dti_ratio,credit_band,apr,screening_outcome,kyc_outcome,agreement_outcome
APP-2026-00774,2026-03-09T18:59:00Z,MOBILE_APP,CREDIT_CARD_STANDARD,10750,REJECTED,4,credit,CRE_INCOME_BELOW_MINIMUM,2026-03-10T03:59:56Z,,2026-03-10T03:59:56Z,45-54,PL,UNEMPLOYED,2000,0.33,D,19.9,CLEAR,VERIFIED,
APP-2026-00755,2026-03-07T12:17:14Z,MOBILE_APP,CREDIT_CARD_STANDARD,3500,REJECTED,5,agreement,AGR_EXPIRED_UNSIGNED,2026-03-10T05:20:51Z,,2026-03-10T05:20:51Z,35-44,NL,PERMANENT,22500,0.2,C,24.9,CLEAR,VERIFIED,DECLINED
APP-2026-00766,2026-03-09T13:30:42Z,WEB,CREDIT_CARD_STUDENT,3000,COMPLETED,8,,,2026-03-10T05:58:08Z,3000.0,2026-03-10T05:58:08Z,45-54,FR,CONTRACT,75500,0.39,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00767,2026-03-09T15:17:54Z,BRANCH,CREDIT_CARD_REWARDS,5250,COMPLETED,8,,,2026-03-10T10:03:45Z,5250.0,2026-03-10T10:03:45Z,35-44,GB,PERMANENT,37500,0.47,D,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-00778,2026-03-10T10:23:32Z,WEB,CREDIT_CARD_STANDARD,17750,REJECTED,1,policy,POL_CUSTOMER_BLOCKED,2026-03-10T11:03:16Z,,2026-03-10T11:03:16Z,25-34,GB,PERMANENT,34000,0.2,B,19.9,,,
APP-2026-00783,2026-03-10T13:35:14Z,MOBILE_APP,CREDIT_CARD_STUDENT,9500,REJECTED,0,verification,VER_LIMIT_OUTSIDE_PRODUCT_RANGE,2026-03-10T13:44:15Z,,2026-03-10T13:44:15Z,18-24,GB,RETIRED,25000,0.43,C,24.9,,,
APP-2026-00779,2026-03-10T11:11:16Z,WEB,CREDIT_CARD_STANDARD,8750,IN_PROGRESS,5,agreement,,,,2026-03-10T15:25:34Z,45-54,NL,PERMANENT,54500,0.28,B,24.9,CLEAR,VERIFIED,
APP-2026-00782,2026-03-10T09:04:27Z,MOBILE_APP,CREDIT_CARD_REWARDS,3250,IN_PROGRESS,5,agreement,,,,2026-03-10T15:51:42Z,25-34,ES,PERMANENT,43500,0.18,B,24.9,CLEAR,VERIFIED,
APP-2026-00775,2026-03-10T10:41:40Z,WEB,CREDIT_CARD_STUDENT,16750,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-03-10T16:22:42Z,,2026-03-10T16:22:42Z,55-64,GB,PERMANENT,34500,0.29,B,19.9,CLEAR,VERIFIED,
APP-2026-00789,2026-03-10T13:44:46Z,MOBILE_APP,CREDIT_CARD_REWARDS,1250,REFERRED,3,screening,SCR_HIGH_RISK_COUNTRY,2026-03-10T17:17:44Z,,2026-03-10T17:17:44Z,35-44,GB,CONTRACT,64500,0.26,A,24.9,REVIEW,VERIFIED,
APP-2026-00786,2026-03-10T10:15:45Z,MOBILE_APP,CREDIT_CARD_STUDENT,18750,IN_PROGRESS,5,agreement,,,,2026-03-10T17:34:04Z,45-54,GB,PERMANENT,34500,0.36,C,19.9,CLEAR,VERIFIED,
APP-2026-00776,2026-03-10T11:36:41Z,WEB,CREDIT_CARD_STANDARD,7750,IN_PROGRESS,5,agreement,,,,2026-03-10T17:43:45Z,35-44,GB,SELF_EMPLOYED,56500,0.39,C,24.9,CLEAR,VERIFIED,
APP-2026-00781,2026-03-10T11:44:45Z,MOBILE_APP,CREDIT_CARD_REWARDS,7250,IN_PROGRESS,5,agreement,,,,2026-03-10T17:51:38Z,25-34,GB,CONTRACT,40500,0.31,B,24.9,CLEAR,VERIFIED,
APP-2026-00777,2026-03-10T15:56:53Z,WEB,CREDIT_CARD_REWARDS,6000,IN_PROGRESS,4,credit,,,,2026-03-10T19:32:48Z,35-44,GB,PERMANENT,45500,0.4,C,24.9,CLEAR,VERIFIED,
