id,status,card_type,applied_date
APP-2026-10-001,COMPLETED,premium,2026-10-01 08:00:00
APP-2026-10-002,COMPLETED,platinum,2026-10-02 09:07:00
APP-2026-10-003,COMPLETED,premium,2026-10-03 10:14:00
APP-2026-10-004,COMPLETED,platinum,2026-10-04 11:21:00
APP-2026-10-005,COMPLETED,premium,2026-10-05 12:28:00
APP-2026-10-006,COMPLETED,platinum,2026-10-06 13:35:00
APP-2026-10-007,COMPLETED,premium,2026-10-07 14:42:00
APP-2026-10-008,COMPLETED,platinum,2026-10-08 15:49:00
APP-2026-10-009,COMPLETED,premium,2026-10-09 16:56:00
APP-2026-10-010,COMPLETED,platinum,2026-10-10 08:03:00
APP-2026-10-011,COMPLETED,premium,2026-10-11 09:10:00
APP-2026-10-012,REJECTED,platinum,2026-10-12 10:17:00
APP-2026-10-013,REJECTED,premium,2026-10-13 11:24:00
APP-2026-10-014,REJECTED,platinum,2026-10-14 12:31:00
APP-2026-10-015,REJECTED,premium,2026-10-15 13:38:00
APP-2026-10-016,REJECTED,platinum,2026-10-16 14:45:00
APP-2026-10-017,REJECTED,premium,2026-10-17 15:52:00
APP-2026-10-018,REJECTED,platinum,2026-10-18 16:59:00
APP-2026-10-019,REJECTED,premium,2026-10-19 08:06:00
APP-2026-10-020,IN_PROGRESS,platinum,2026-10-20 09:13:00
APP-2026-10-021,IN_PROGRESS,premium,2026-10-21 10:20:00
APP-2026-10-022,IN_PROGRESS,platinum,2026-10-22 11:27:00
APP-2026-10-023,IN_PROGRESS,premium,2026-10-23 12:34:00
APP-2026-10-024,IN_PROGRESS,platinum,2026-10-24 13:41:00
APP-2026-10-025,IN_PROGRESS,premium,2026-10-25 14:48:00
