id,status,card_type,applied_date
APP-2026-01-001,COMPLETED,platinum,2026-01-01 08:00:00
APP-2026-01-002,COMPLETED,premium,2026-01-02 09:07:00
APP-2026-01-003,COMPLETED,platinum,2026-01-03 10:14:00
APP-2026-01-004,COMPLETED,premium,2026-01-04 11:21:00
APP-2026-01-005,COMPLETED,platinum,2026-01-05 12:28:00
APP-2026-01-006,COMPLETED,premium,2026-01-06 13:35:00
APP-2026-01-007,COMPLETED,platinum,2026-01-07 14:42:00
APP-2026-01-008,COMPLETED,premium,2026-01-08 15:49:00
APP-2026-01-009,COMPLETED,platinum,2026-01-09 16:56:00
APP-2026-01-010,COMPLETED,premium,2026-01-10 08:03:00
APP-2026-01-011,REJECTED,platinum,2026-01-11 09:10:00
APP-2026-01-012,REJECTED,premium,2026-01-12 10:17:00
APP-2026-01-013,REJECTED,platinum,2026-01-13 11:24:00
APP-2026-01-014,REJECTED,premium,2026-01-14 12:31:00
APP-2026-01-015,REJECTED,platinum,2026-01-15 13:38:00
APP-2026-01-016,REJECTED,premium,2026-01-16 14:45:00
APP-2026-01-017,IN_PROGRESS,platinum,2026-01-17 15:52:00
APP-2026-01-018,IN_PROGRESS,premium,2026-01-18 16:59:00
APP-2026-01-019,IN_PROGRESS,platinum,2026-01-19 08:06:00
APP-2026-01-020,IN_PROGRESS,premium,2026-01-20 09:13:00
APP-2026-01-021,IN_PROGRESS,platinum,2026-01-21 10:20:00
APP-2026-01-022,IN_PROGRESS,premium,2026-01-22 11:27:00
APP-2026-01-023,IN_PROGRESS,platinum,2026-01-23 12:34:00
APP-2026-01-024,IN_PROGRESS,premium,2026-01-24 13:41:00
APP-2026-01-025,IN_PROGRESS,platinum,2026-01-25 14:48:00
