application_id,submitted_at,channel,product_code,requested_limit,status,steps_reached,stopped_at_step,decline_reason_code,decided_at,granted_limit,last_updated_at,age_band,residence_country,employment_status,annual_income,dti_ratio,credit_band,apr,screening_outcome,kyc_outcome,agreement_outcome
APP-2026-02282,2026-07-15T18:18:11Z,WEB,CREDIT_CARD_STANDARD,17750,REFERRED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-16T01:28:01Z,,2026-07-16T01:28:01Z,35-44,GB,PERMANENT,41500,0.44,C,19.9,CLEAR,VERIFIED,
APP-2026-02291,2026-07-15T18:25:25Z,MOBILE_APP,CREDIT_CARD_STUDENT,2250,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-16T02:13:59Z,,2026-07-16T02:13:59Z,45-54,GB,PERMANENT,22000,0.33,C,24.9,CLEAR,VERIFIED,
APP-2026-02290,2026-07-15T20:28:13Z,MOBILE_APP,CREDIT_CARD_REWARDS,10000,IN_PROGRESS,5,agreement,,,,2026-07-16T02:40:03Z,35-44,ES,PERMANENT,113000,0.33,B,19.9,CLEAR,VERIFIED,
APP-2026-02281,2026-07-15T20:26:09Z,MOBILE_APP,CREDIT_CARD_STUDENT,19500,REJECTED,4,credit,CRE_INCOME_BELOW_MINIMUM,2026-07-16T04:25:05Z,,2026-07-16T04:25:05Z,18-24,GB,STUDENT,7500,0.44,D,19.9,CLEAR,VERIFIED,
APP-2026-02288,2026-07-15T18:32:52Z,BRANCH,CREDIT_CARD_STANDARD,9000,IN_PROGRESS,5,agreement,,,,2026-07-16T04:27:50Z,35-44,GB,PERMANENT,59500,0.18,A,19.9,CLEAR,VERIFIED,
APP-2026-02292,2026-07-15T18:53:13Z,BRANCH,CREDIT_CARD_STANDARD,6250,REJECTED,4,credit,CRE_INCOME_BELOW_MINIMUM,2026-07-16T05:16:09Z,,2026-07-16T05:16:09Z,18-24,GB,PERMANENT,35000,0.48,D,24.9,CLEAR,VERIFIED,
APP-2026-02284,2026-07-15T21:39:39Z,MOBILE_APP,CREDIT_CARD_STANDARD,6250,IN_PROGRESS,5,agreement,,,,2026-07-16T05:39:57Z,65+,GB,PERMANENT,64500,0.36,C,19.9,CLEAR,VERIFIED,
APP-2026-02285,2026-07-15T18:53:15Z,AGGREGATOR,CREDIT_CARD_STUDENT,5250,COMPLETED,8,,,2026-07-16T10:15:00Z,2000.0,2026-07-16T10:15:00Z,65+,GB,STUDENT,7500,0.31,D,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02298,2026-07-16T11:40:08Z,MOBILE_APP,CREDIT_CARD_REWARDS,7000,REJECTED,4,credit,CRE_AFFORDABILITY_EXCEEDED,2026-07-16T19:05:02Z,,2026-07-16T19:05:02Z,25-34,GB,SELF_EMPLOYED,21000,0.19,C,19.9,CLEAR,VERIFIED,
APP-2026-02299,2026-07-16T19:18:46Z,MOBILE_APP,CREDIT_CARD_REWARDS,9250,REJECTED,0,verification,VER_TERMS_NOT_ACCEPTED,2026-07-16T19:48:18Z,,2026-07-16T19:48:18Z,18-24,GB,RETIRED,20500,0.46,D,19.9,,,
APP-2026-02294,2026-07-16T16:31:26Z,MOBILE_APP,CREDIT_CARD_REWARDS,6250,IN_PROGRESS,5,agreement,,,,2026-07-16T19:49:16Z,35-44,GB,PERMANENT,101000,0.4,C,24.9,CLEAR,VERIFIED,
APP-2026-02297,2026-07-16T12:29:02Z,WEB,CREDIT_CARD_REWARDS,5500,IN_PROGRESS,5,agreement,,,,2026-07-16T19:52:10Z,55-64,GB,SELF_EMPLOYED,78500,0.33,B,24.9,CLEAR,VERIFIED,
APP-2026-02302,2026-07-16T19:05:12Z,MOBILE_APP,CREDIT_CARD_STUDENT,5500,IN_PROGRESS,5,agreement,,,,2026-07-16T21:41:13Z,25-34,IE,CONTRACT,32000,0.48,D,24.9,CLEAR,VERIFIED,
APP-2026-02301,2026-07-16T21:02:52Z,MOBILE_APP,CREDIT_CARD_STUDENT,10750,IN_PROGRESS,2,kyc,,,,2026-07-16T21:43:58Z,55-64,RU,CONTRACT,43000,0.42,C,19.9,,,
APP-2026-02293,2026-07-16T16:38:47Z,MOBILE_APP,CREDIT_CARD_REWARDS,21500,IN_PROGRESS,5,agreement,,,,2026-07-16T21:54:07Z,45-54,GB,STUDENT,10000,0.28,D,19.9,CLEAR,VERIFIED,
APP-2026-02300,2026-07-16T18:17:06Z,WEB,CREDIT_CARD_REWARDS,21000,IN_PROGRESS,5,agreement,,,,2026-07-16T22:13:47Z,35-44,ES,SELF_EMPLOYED,45500,0.52,D,19.9,CLEAR,VERIFIED,
APP-2026-02278,2026-07-14T10:11:23Z,AGGREGATOR,CREDIT_CARD_STUDENT,5500,COMPLETED,8,,,2026-07-16T22:44:49Z,5500.0,2026-07-16T22:44:49Z,55-64,NL,CONTRACT,28500,0.28,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02295,2026-07-16T12:26:24Z,WEB,CREDIT_CARD_STUDENT,5750,IN_PROGRESS,6,account,,,,2026-07-16T22:49:35Z,55-64,GB,PERMANENT,28500,0.45,C,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02289,2026-07-15T14:10:07Z,AGGREGATOR,CREDIT_CARD_STANDARD,9750,COMPLETED,8,,,2026-07-16T23:21:58Z,9750.0,2026-07-16T23:21:58Z,25-34,GB,PERMANENT,44500,0.29,B,24.9,CLEAR,VERIFIED,SIGNED
APP-2026-02303,2026-07-16T15:57:26Z,WEB,CREDIT_CARD_STUDENT,23250,IN_PROGRESS,5,agreement,,,,2026-07-16T23:38:44Z,55-64,GB,SELF_EMPLOYED,32500,0.4,C,19.9,CLEAR,VERIFIED,
APP-2026-02296,2026-07-16T20:48:23Z,MOBILE_APP,CREDIT_CARD_STUDENT,9750,IN_PROGRESS,4,credit,,,,2026-07-16T23:55:51Z,35-44,NL,RETIRED,33000,0.32,B,24.9,CLEAR,VERIFIED,
