id,status,card_type,timestamp
51,COMPLETED,platinum,2026-05-01 09:00:00
52,ACCEPTED,premium,2026-05-02 09:00:00
53,DECLINED,platinum,2026-05-03 09:00:00
54,COMPLETED,premium,2026-05-04 09:00:00
55,ACCEPTED,platinum,2026-05-05 09:00:00
56,DECLINED,premium,2026-05-06 09:00:00
57,COMPLETED,platinum,2026-05-07 09:00:00
58,ACCEPTED,premium,2026-05-08 09:00:00
59,DECLINED,platinum,2026-05-09 09:00:00
60,COMPLETED,premium,2026-05-10 09:00:00
61,ACCEPTED,platinum,2026-05-11 09:00:00
62,DECLINED,premium,2026-05-12 09:00:00
63,COMPLETED,platinum,2026-05-13 09:00:00
64,ACCEPTED,premium,2026-05-14 09:00:00
65,DECLINED,platinum,2026-05-15 09:00:00
66,COMPLETED,premium,2026-05-16 09:00:00
67,ACCEPTED,platinum,2026-05-17 09:00:00
68,DECLINED,premium,2026-05-18 09:00:00
69,COMPLETED,platinum,2026-05-19 09:00:00
70,ACCEPTED,premium,2026-05-20 09:00:00
71,DECLINED,platinum,2026-05-21 09:00:00
72,COMPLETED,premium,2026-05-22 09:00:00
73,ACCEPTED,platinum,2026-05-23 09:00:00
74,DECLINED,premium,2026-05-24 09:00:00
75,COMPLETED,platinum,2026-05-25 09:00:00
